sensor_addr,total,date
fa94e727ee7ad083,357,2022-05-14
80d332b5fe2a5fb7,29,2022-05-14
42d66883f2f7bec0,5512,2022-05-14
3d263811b5347cf1,130,2022-05-14
e273b5c71c557227,115,2022-05-14
3603180f0c2fad89,108,2022-05-14
b7ef004a0db543d8,364,2022-05-14
578f9c72ac05fa55,349,2022-05-14
cfa90ead5893ac6d,487,2022-05-14
408148275a6eb193,973,2022-05-14
7ea402ac9bf01d9b,511,2022-05-14
d15fa2cc04a41cc5,166,2022-05-14
f53b0e0abd701380,344,2022-05-14
038d05a43bbede71,900,2022-05-14
a2b5051c78ab6c68,389,2022-05-14
22d15ebc9c8da378,227,2022-05-14
f3d1627b4490039a,4,2022-05-14
d006e7ad7e9e7c41,211,2022-05-14
80d332b5fe2a5fb7,119,2022-04-15
42d66883f2f7bec0,701,2022-04-15
3d263811b5347cf1,186,2022-04-15
5c0ce6297f13f98d,8,2022-04-15
3603180f0c2fad89,24,2022-04-15
b7ef004a0db543d8,1126,2022-04-15
cfa90ead5893ac6d,76,2022-04-15
7ea402ac9bf01d9b,71,2022-04-15
d15fa2cc04a41cc5,287,2022-04-15
044db397146b4497,446,2022-04-15
76082d476c2b2aa6,40,2022-04-15
7d8aa396190cc231,58,2022-04-15
42d66883f2f7bec0,4179,2022-05-09
3d263811b5347cf1,78,2022-05-09
5c0ce6297f13f98d,516,2022-05-09
e273b5c71c557227,539,2022-05-09
3603180f0c2fad89,132,2022-05-09
b7ef004a0db543d8,1620,2022-05-09
578f9c72ac05fa55,1553,2022-05-09
cfa90ead5893ac6d,505,2022-05-09
0e1f6afeb9cf87f9,189,2022-05-09
408148275a6eb193,40,2022-05-09
7ea402ac9bf01d9b,225,2022-05-09
d15fa2cc04a41cc5,633,2022-05-09
f53b0e0abd701380,451,2022-05-09
044db397146b4497,1909,2022-05-09
bdcbb2450902efb0,224,2022-05-09
a2b5051c78ab6c68,103,2022-05-09
dbc068a107eb5ad2,51,2022-05-09
22df23e314a79ea2,665,2022-05-02
80d332b5fe2a5fb7,426,2022-05-02
5c0ce6297f13f98d,37,2022-05-02
3603180f0c2fad89,114,2022-05-02
578f9c72ac05fa55,3262,2022-05-02
cfa90ead5893ac6d,286,2022-05-02
408148275a6eb193,125,2022-05-02
7ea402ac9bf01d9b,393,2022-05-02
f53b0e0abd701380,519,2022-05-02
044db397146b4497,841,2022-05-02
a2b5051c78ab6c68,349,2022-05-02
f3d1627b4490039a,271,2022-05-02
d006e7ad7e9e7c41,129,2022-05-02
fa94e727ee7ad083,657,2022-05-10
80d332b5fe2a5fb7,852,2022-05-10
42d66883f2f7bec0,4672,2022-05-10
3d263811b5347cf1,118,2022-05-10
5c0ce6297f13f98d,97,2022-05-10
12d286c1ce6c1a1a,37,2022-05-10
e273b5c71c557227,1441,2022-05-10
3603180f0c2fad89,12,2022-05-10
b7ef004a0db543d8,1133,2022-05-10
cfa90ead5893ac6d,880,2022-05-10
0e1f6afeb9cf87f9,1988,2022-05-10
7ea402ac9bf01d9b,227,2022-05-10
f53b0e0abd701380,446,2022-05-10
044db397146b4497,960,2022-05-10
bdcbb2450902efb0,40,2022-05-10
f3d1627b4490039a,404,2022-05-10
dbc068a107eb5ad2,137,2022-05-10
d006e7ad7e9e7c41,191,2022-05-10
fa94e727ee7ad083,511,2022-04-20
80d332b5fe2a5fb7,937,2022-04-20
42d66883f2f7bec0,7602,2022-04-20
3d263811b5347cf1,55,2022-04-20
5c0ce6297f13f98d,279,2022-04-20
12d286c1ce6c1a1a,729,2022-04-20
3603180f0c2fad89,161,2022-04-20
cfa90ead5893ac6d,293,2022-04-20
0e1f6afeb9cf87f9,505,2022-04-20
7ea402ac9bf01d9b,201,2022-04-20
d15fa2cc04a41cc5,68,2022-04-20
f53b0e0abd701380,107,2022-04-20
bdcbb2450902efb0,407,2022-04-20
22d15ebc9c8da378,858,2022-04-20
76082d476c2b2aa6,137,2022-04-20
1d4277874a78d840,8,2022-04-20
d006e7ad7e9e7c41,275,2022-04-20
fa94e727ee7ad083,420,2022-04-18
22df23e314a79ea2,148,2022-04-18
3d263811b5347cf1,158,2022-04-18
5c0ce6297f13f98d,181,2022-04-18
12d286c1ce6c1a1a,624,2022-04-18
b7ef004a0db543d8,1585,2022-04-18
578f9c72ac05fa55,1786,2022-04-18
7de50d6cc939c7ae,36,2022-04-18
408148275a6eb193,405,2022-04-18
7ea402ac9bf01d9b,41,2022-04-18
038d05a43bbede71,548,2022-04-18
bdcbb2450902efb0,187,2022-04-18
22d15ebc9c8da378,47,2022-04-18
d006e7ad7e9e7c41,92,2022-04-18
fa94e727ee7ad083,10,2022-04-12
80d332b5fe2a5fb7,141,2022-04-12
42d66883f2f7bec0,2579,2022-04-12
5c0ce6297f13f98d,31,2022-04-12
12d286c1ce6c1a1a,353,2022-04-12
578f9c72ac05fa55,729,2022-04-12
cfa90ead5893ac6d,963,2022-04-12
408148275a6eb193,54,2022-04-12
7ea402ac9bf01d9b,54,2022-04-12
d15fa2cc04a41cc5,19,2022-04-12
f53b0e0abd701380,371,2022-04-12
038d05a43bbede71,178,2022-04-12
bdcbb2450902efb0,46,2022-04-12
22d15ebc9c8da378,447,2022-04-12
f3d1627b4490039a,162,2022-04-12
76082d476c2b2aa6,34,2022-04-12
7d8aa396190cc231,223,2022-04-12
fa94e727ee7ad083,127,2022-05-07
22df23e314a79ea2,79,2022-05-07
80d332b5fe2a5fb7,331,2022-05-07
5c0ce6297f13f98d,74,2022-05-07
e273b5c71c557227,541,2022-05-07
3603180f0c2fad89,58,2022-05-07
cfa90ead5893ac6d,616,2022-05-07
